danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.604,0.966,7,-2.378,1,0.073,0.0015,0.331,0.11,0.234,127.981,204492,5
0.714,0.624,5,-5.413,0,0.0651,0.39,0.0,0.12,0.5,140.984,227221,1
0.734,0.709,1,-10.433,1,0.429,0.0138,0.0,0.111,0.499,140.157,154227,1
0.674,0.89,8,-4.772,1,0.413,0.252,0.873,0.622,0.84,127.992,122813,5
0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.376,125.978,179405,3
0.86,0.793,10,-3.89,0,0.272,0.0437,0.0,0.0493,0.694,91.029,212053,1
0.735,0.406,9,-12.39,1,0.0333,0.359,0.0071,0.118,0.591,119.984,212387,3
0.679,0.572,5,-6.703,1,0.0781,0.455,2.41e-06,0.127,0.542,92.859,183428,0
0.583,0.526,4,-5.781,1,0.0291,0.0634,0.000123,0.218,0.313,160.067,329400,2
0.898,0.56,0,-8.891,1,0.117,0.00238,0.0,0.108,0.465,146.458,269067,1
0.68,0.423,11,-11.112,0,0.136,0.0343,0.0,0.0925,0.822,169.184,237960,3
0.52,0.847,9,-5.3,1,0.427,0.272,0.0,0.325,0.799,177.371,302013,1
0.499,0.532,8,-7.257,0,0.0406,0.588,0.0125,0.117,0.461,143.921,162104,4
0.621,0.157,11,-15.226,1,0.1,0.525,0.82,0.11,0.124,74.992,164800,1
0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,0
0.598,0.862,6,-4.738,1,0.099,0.00251,0.0,0.305,0.366,117.054,176410,4
0.475,0.622,7,-8.678,0,0.0568,0.803,0.000551,0.158,0.679,87.044,252680,4
0.714,0.795,9,-4.621,0,0.0354,0.013,2.33e-05,0.0917,0.347,123.002,142439,5
0.435,0.91,2,-3.154,0,0.0486,6.88e-05,2.97e-05,0.106,0.467,146.075,227663,2
0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,194009,0
